KYTREASNOX,MCALDT,TMYTM
2000001,1/31/1973,5.5713958
2000001,2/28/1973,5.579419263
2000001,3/30/1973,5.87491359
2000001,4/30/1973,5.987001949
2000001,5/31/1973,6.526641041
2000001,6/29/1973,7.435697157
2000001,7/31/1973,8.31182573
2000001,8/31/1973,8.581276902
2000001,9/28/1973,7.335158262
2000001,10/31/1973,6.928195619
2000001,11/30/1973,7.44744155
2000001,12/31/1973,7.363522061
2000001,1/31/1974,7.550333681
2000001,2/28/1974,7.376721753
2000001,3/29/1974,8.499502314
2000001,4/30/1974,8.7712717
2000001,5/31/1974,7.83378472
2000001,6/28/1974,7.680673134
2000001,7/31/1974,7.714542796
2000001,8/30/1974,9.215119446
2000001,9/30/1974,6.170482096
2000001,10/31/1974,6.672387473
2000001,11/29/1974,7.498498524
2000001,12/31/1974,6.536854894
2000001,1/31/1975,5.539994396
2000001,2/28/1975,4.755528236
2000001,3/31/1975,5.273898732
2000001,4/30/1975,5.213901662
2000001,5/30/1975,4.856377345
2000001,6/30/1975,5.650760335
2000001,7/31/1975,6.029751322
2000001,8/29/1975,5.968098304
2000001,9/30/1975,6.292235264
2000001,10/31/1975,5.315795001
2000001,11/28/1975,5.183707452
2000001,12/31/1975,5.172030836
2000001,1/30/1976,4.521299487
2000001,2/27/1976,4.653650321
2000001,3/31/1976,4.755533627
2000001,4/30/1976,4.693780694
2000001,5/28/1976,5.060401979
2000001,6/30/1976,5.296169644
2000001,7/30/1976,5.081438599
2000001,8/31/1976,4.764475863
2000001,9/30/1976,5.081799684
2000001,10/29/1976,4.755517453
2000001,11/30/1976,4.347199536
2000001,12/31/1976,4.256614426
2000001,1/31/1977,4.551038439
2000001,2/28/1977,4.42887475
2000001,3/31/1977,4.541416093
2000001,4/29/1977,4.388419741
2000001,5/31/1977,4.835090151
2000001,6/30/1977,4.949368002
2000001,7/29/1977,5.346332523
2000001,8/31/1977,5.377698643
2000001,9/30/1977,5.815163636
2000001,10/31/1977,5.824002823
2000001,11/30/1977,5.693750452
2000001,12/30/1977,5.75402501
2000001,1/31/1978,5.996720854
2000001,2/28/1978,6.088425174
2000001,3/31/1978,6.497225357
2000001,4/28/1978,6.04864834
2000001,5/31/1978,6.509737254
2000001,6/30/1978,6.559570476
2000001,7/31/1978,6.517021918
2000001,8/31/1978,7.601380813
2000001,9/29/1978,8.019309167
2000001,10/31/1978,8.536384101
2000001,11/30/1978,9.062858733
2000001,12/29/1978,8.428012815
2000001,1/31/1979,9.521975613
2000001,2/28/1979,9.542430033
2000001,3/30/1979,9.642170324
2000001,4/30/1979,9.569337251
2000001,5/31/1979,9.686936307
2000001,6/29/1979,8.990156704
2000001,7/31/1979,9.09812997
2000001,8/31/1979,10.05402019
2000001,9/28/1979,10.27916806
2000001,10/31/1979,11.71701192
2000001,11/30/1979,10.90379885
2000001,12/31/1979,9.344482923
2000001,1/31/1980,11.72161402
2000001,2/29/1980,13.61636786
2000001,3/31/1980,15.0506468
2000001,4/30/1980,9.237929853
2000001,5/30/1980,7.182026332
2000001,6/30/1980,6.201022816
2000001,7/31/1980,7.499260454
2000001,8/29/1980,9.29694616
2000001,9/30/1980,10.79497051
2000001,10/31/1980,11.68250315
2000001,11/28/1980,14.65175102
2000001,12/31/1980,12.52763363
2000001,1/30/1981,13.91930237
2000001,2/27/1981,14.0322819
2000001,3/31/1981,13.01669945
2000001,4/30/1981,13.81923605
2000001,5/29/1981,16.15047685
2000001,6/30/1981,14.41128228
2000001,7/31/1981,14.95716962
2000001,8/31/1981,14.96847719
2000001,9/30/1981,13.99660456
2000001,10/30/1981,12.71820006
2000001,11/30/1981,10.24413688
2000001,12/31/1981,9.635781727
2000001,1/29/1982,11.92852716
2000001,2/26/1982,11.8260103
2000001,3/31/1982,13.42107715
2000001,4/30/1982,12.23613649
2000001,5/28/1982,11.43652284
2000001,6/30/1982,11.77856961
2000001,7/30/1982,8.918629113
2000001,8/31/1982,6.210683896
2000001,9/30/1982,7.019405747
2000001,10/29/1982,7.70268583
2000001,11/30/1982,7.628029167
2000001,12/31/1982,8.060150357
2000001,1/31/1983,8.037105083
2000001,2/28/1983,7.424766273
2000001,3/31/1983,8.572077336
2000001,4/29/1983,8.111274339
2000001,5/31/1983,8.07703293
2000001,6/30/1983,8.694743147
2000001,7/29/1983,8.918634525
2000001,8/31/1983,9.145833475
2000001,9/30/1983,8.755047995
2000001,10/31/1983,8.445533643
2000001,11/30/1983,8.501515653
2000001,12/30/1983,8.64262546
2000001,1/31/1984,8.883603432
2000001,2/29/1984,8.890122277
2000001,3/30/1984,9.552653478
2000001,4/30/1984,9.262732973
2000001,5/31/1984,9.359495638
2000001,6/29/1984,9.358332622
2000001,7/31/1984,9.649797106
2000001,8/31/1984,10.71946725
2000001,9/28/1984,10.43275209
2000001,10/31/1984,8.603773649
2000001,11/30/1984,7.406618258
2000001,12/31/1984,7.598208115
2000001,1/31/1985,7.652477718
2000001,2/28/1985,7.71371011
2000001,3/29/1985,8.090852577
2000001,4/30/1985,7.352588649
2000001,5/31/1985,7.029621326
2000001,6/28/1985,6.631016667
2000001,7/31/1985,7.060918716
2000001,8/30/1985,7.06975579
2000001,9/30/1985,7.067698041
2000001,10/31/1985,7.172534437
2000001,11/29/1985,6.569788356
2000001,12/31/1985,5.905029558
2000001,1/31/1986,6.784018998
2000001,2/28/1986,6.947318638
2000001,3/31/1986,6.272394986
2000001,4/30/1986,5.897675396
2000001,5/30/1986,6.151619398
2000001,6/30/1986,5.885113758
2000001,7/31/1986,5.632140287
2000001,8/29/1986,5.122216712
2000001,9/30/1986,5.110577496
2000001,10/31/1986,5.122216712
2000001,11/28/1986,4.959552263
2000001,12/31/1986,5.112750815
2000001,1/30/1987,5.580746766
2000001,2/27/1987,5.366745298
2000001,3/31/1987,5.202208937
2000001,4/30/1987,4.857682694
2000001,5/29/1987,5.387077542
2000001,6/30/1987,4.927329207
2000001,7/31/1987,5.601120834
2000001,8/31/1987,5.660973021
2000001,9/30/1987,6.499538211
2000001,10/30/1987,4.022532211
2000001,11/30/1987,3.513322167
2000001,12/31/1987,3.686924645
2000001,1/29/1988,5.285215196
2000001,2/29/1988,5.172037406
2000001,3/31/1988,5.734059907
2000001,4/29/1988,5.75402501
2000001,5/31/1988,5.864269222
2000001,6/30/1988,6.539790392
2000001,7/29/1988,6.375983835
2000001,8/31/1988,7.203865215
2000001,9/30/1988,7.090167742
2000001,10/31/1988,6.741325693
2000001,11/30/1988,6.826121781
2000001,12/30/1988,6.610579838
2000001,1/31/1989,7.883122294
2000001,2/28/1989,7.536208732
2000001,3/31/1989,8.775492017
2000001,4/28/1989,8.560849204
2000001,5/31/1989,8.593538182
2000001,6/30/1989,8.254291041
2000001,7/31/1989,7.843148223
2000001,8/31/1989,7.785237373
2000001,9/29/1989,7.75376756
2000001,10/31/1989,7.68924664
2000001,11/30/1989,7.070442062
2000001,12/29/1989,6.263793955
2000001,1/31/1990,7.643041233
2000001,2/28/1990,7.704336735
2000001,3/30/1990,7.998892759
2000001,4/30/1990,7.516580634
2000001,5/31/1990,7.335880275
2000001,6/29/1990,7.641437213
2000001,7/31/1990,7.464797629
2000001,8/31/1990,7.488278407
2000001,9/28/1990,7.018727608
2000001,10/31/1990,6.744466026
2000001,11/30/1990,6.651396274
2000001,12/31/1990,5.447024659
2000001,1/31/1991,5.876805477
2000001,2/28/1991,5.713679264
2000001,3/28/1991,5.887001713
2000001,4/30/1991,5.416064879
2000001,5/31/1991,5.387503366
2000001,6/28/1991,5.183326557
2000001,7/31/1991,5.540806895
2000001,8/30/1991,5.30558905
2000001,9/30/1991,4.988748244
2000001,10/31/1991,4.786383874
2000001,11/29/1991,4.063235398
2000001,12/31/1991,3.716503887
2000001,1/31/1992,3.727435814
2000001,2/28/1992,3.849532601
2000001,3/31/1992,4.011466945
2000001,4/30/1992,3.503796115
2000001,5/29/1992,3.635872336
2000001,6/30/1992,3.513122745
2000001,7/31/1992,3.076487377
2000001,8/31/1992,3.025272143
2000001,9/30/1992,2.690371875
2000001,10/30/1992,2.771491118
2000001,11/30/1992,2.669551817
2000001,12/31/1992,2.924095647
2000001,1/29/1993,2.862980897
2000001,2/26/1993,2.720666832
2000001,3/31/1993,2.863205687
2000001,4/30/1993,2.852814982
2000001,5/28/1993,2.954478474
2000001,6/30/1993,2.863205687
2000001,7/30/1993,2.884111212
2000001,8/31/1993,2.86253146
2000001,9/30/1993,2.781762355
2000001,10/29/1993,2.832483438
2000001,11/30/1993,2.75074611
2000001,12/31/1993,2.944311692
2000001,1/31/1994,2.791500965
2000001,2/28/1994,2.903298782
2000001,3/31/1994,3.391898999
2000001,4/29/1994,3.615525957
2000001,5/31/1994,3.78769532
2000001,6/30/1994,3.524142336
2000001,7/29/1994,3.951290532
2000001,8/31/1994,4.389488136
2000001,9/30/1994,4.490768656
2000001,10/31/1994,4.337284428
2000001,11/30/1994,4.949701218
2000001,12/30/1994,4.735149843
2000001,1/31/1995,5.181852587
2000001,2/28/1995,5.018948883
2000001,3/31/1995,5.774390974
2000001,4/28/1995,5.733617461
2000001,5/31/1995,5.642756507
2000001,6/30/1995,5.325967486
2000001,7/31/1995,5.447024659
2000001,8/31/1995,5.36712076
2000001,9/29/1995,5.356535865
2000001,10/31/1995,4.988406867
2000001,11/30/1995,5.418078023
2000001,12/29/1995,4.582405082
2000001,1/31/1996,4.929324409
2000001,2/29/1996,4.979926905
2000001,3/29/1996,5.193514566
2000001,4/30/1996,4.835708286
2000001,5/31/1996,5.030865253
2000001,6/28/1996,4.816622603
2000001,7/31/1996,5.03121255
2000001,8/30/1996,5.112013199
2000001,9/30/1996,4.988748244
2000001,10/31/1996,4.962099072
2000001,11/29/1996,4.949029026
2000001,12/31/1996,4.873881135
2000001,1/31/1997,4.969400694
2000001,2/28/1997,5.055984599
2000001,3/31/1997,5.222956127
2000001,4/30/1997,4.990456065
2000001,5/30/1997,4.414410943
2000001,6/30/1997,5.044750239
2000001,7/31/1997,5.117466153
2000001,8/29/1997,5.017784956
2000001,9/30/1997,4.749187596
2000001,10/31/1997,4.893008931
2000001,11/28/1997,4.990114376
2000001,12/31/1997,5.107635375
2000001,1/30/1998,5.025424776
2000001,2/27/1998,5.122200532
2000001,3/31/1998,5.230218822
2000001,4/30/1998,4.727818721
2000001,5/29/1998,4.567131801
2000001,6/30/1998,4.703385015
2000001,7/31/1998,4.745333599
2000001,8/31/1998,4.690964197
2000001,9/30/1998,4.028060362
2000001,10/30/1998,3.551946008
2000001,11/30/1998,4.441596191
2000001,12/31/1998,4.394314674
2000001,1/29/1999,4.409320622
2000001,2/26/1999,4.50604085
2000001,3/31/1999,4.557519561
2000001,4/30/1999,4.45248731
2000001,5/28/1999,4.419501288
2000001,6/30/1999,4.437857964
2000001,7/30/1999,4.450043866
2000001,8/31/1999,4.49983885
2000001,9/30/1999,4.50122802
2000001,10/29/1999,4.366053866
2000001,11/30/1999,4.571076135
2000001,12/31/1999,5.101825964
2000001,1/31/2000,5.38591083
2000001,2/29/2000,5.314227908
2000001,3/31/2000,5.855942645
2000001,4/28/2000,5.269927718
2000001,5/31/2000,4.674648843
2000001,6/30/2000,5.629142403
2000001,7/31/2000,5.874910303
2000001,8/31/2000,6.233733054
2000001,9/29/2000,5.919659199
2000001,10/31/2000,6.027265776
2000001,11/30/2000,6.11899301
2000001,12/29/2000,5.7692942
2000001,1/31/2001,4.827446506
2000001,2/28/2001,5.013381386
2000001,3/30/2001,4.432227257
2000001,4/30/2001,3.742120939
2000001,5/31/2001,3.445302943
2000001,6/29/2001,3.414626168
2000001,7/31/2001,3.640231975
2000001,8/31/2001,3.373942181
2000001,9/28/2001,2.377665821
2000001,10/31/2001,2.093305297
2000001,11/30/2001,1.727535072
2000001,12/31/2001,1.636031946
2000001,1/31/2002,1.689492803
2000001,2/28/2002,1.732653839
2000001,3/28/2002,1.709803656
2000001,4/30/2002,1.752754977
2000001,5/31/2002,1.689492803
2000001,6/28/2002,1.666605495
2000001,7/31/2002,1.699687775
2000001,8/30/2002,1.656450902
2000001,9/30/2002,1.570039381
2000001,10/31/2002,1.420411333
2000001,11/29/2002,1.217356633
2000001,12/31/2002,1.136085811
2000001,1/31/2003,1.146306235
2000001,2/28/2003,1.194518492
2000001,3/31/2003,1.141177847
2000001,4/30/2003,1.093054267
2000001,5/30/2003,1.120932233
2000001,6/30/2003,0.793635469
2000001,7/31/2003,0.879919727
2000001,8/29/2003,0.971237825
2000001,9/30/2003,0.851964889
2000001,10/31/2003,0.915424914
2000001,11/28/2003,0.900214819
2000001,12/31/2003,0.826656353
2000001,1/30/2004,0.826637626
2000001,2/27/2004,0.933183253
2000001,3/31/2004,0.923058944
2000001,4/30/2004,0.80888105
2000001,5/28/2004,0.907814287
2000001,6/30/2004,1.128579278
2000001,7/30/2004,1.278260716
2000001,8/31/2004,1.440574731
2000001,9/30/2004,1.458484682
2000001,10/29/2004,1.747845699
2000001,11/30/2004,2.032008429
2000001,12/31/2004,1.90780532
2000001,1/31/2005,2.161566276
2000001,2/28/2005,2.496812142
2000001,3/31/2005,2.59879095
2000001,4/29/2005,2.710502263
2000001,5/31/2005,2.75074611
2000001,6/30/2005,2.985101576
2000001,7/29/2005,3.229018006
2000001,8/31/2005,3.341193727
2000001,9/30/2005,3.185798794
2000001,10/31/2005,3.696351591
2000001,11/30/2005,3.970561927
2000001,12/30/2005,3.946202406
2000001,1/31/2006,4.32685138
2000001,2/28/2006,4.423517817
2000001,3/31/2006,4.59258739
2000001,4/28/2006,4.612952295
2000001,5/31/2006,4.695020535
2000001,6/30/2006,4.684232508
2000001,7/31/2006,5.032432856
2000001,8/31/2006,4.964645886
2000001,9/29/2006,4.64859181
2000001,10/31/2006,5.151204662
2000001,11/30/2006,4.979926905
2000001,12/29/2006,4.768247406
2000001,1/31/2007,5.000645032
2000001,2/28/2007,5.143301332
2000001,3/30/2007,5.050891234
2000001,4/30/2007,4.754586941
2000001,5/31/2007,4.694718132
2000001,6/29/2007,4.531494991
2000001,7/31/2007,5.10548876
2000001,8/31/2007,4.152290786
2000001,9/28/2007,3.442597303
2000001,10/31/2007,3.982254773
2000001,11/30/2007,3.218848623
2000001,12/31/2007,2.857562028
2000001,1/31/2008,1.664104792
2000001,2/29/2008,2.070328391
2000001,3/31/2008,1.237594639
2000001,4/30/2008,1.258002345
2000001,5/30/2008,1.948433781
2000001,6/30/2008,1.694413067
2000001,7/31/2008,1.582867311
2000001,8/29/2008,1.664066838
2000001,9/30/2008,0.96357591
2000001,10/31/2008,0.253502151
2000001,11/28/2008,0.03041711
2000001,12/31/2008,0.030417123
2000001,1/30/2009,0.17744522
2000001,2/27/2009,0.172374949
2000001,3/31/2009,0.152092839
2000001,4/30/2009,0.035486715
2000001,5/29/2009,0.081114176
2000001,6/30/2009,0.144487746
2000001,7/31/2009,0.129278617
2000001,8/31/2009,0.093788458
2000001,9/30/2009,0.043091194
2000001,10/30/2009,0.010138937
2000001,11/30/2009,0.073509239
2000001,12/31/2009,0.038021526
2000001,1/29/2010,0.015208441
2000001,2/26/2010,0.073509461
2000001,3/31/2010,0.134349179
2000001,4/30/2010,0.141953829
2000001,5/28/2010,0.136883727
2000001,6/30/2010,0.162235201
2000001,7/30/2010,0.141953829
2000001,8/31/2010,0.152092839
2000001,9/30/2010,0.134348931
2000001,10/29/2010,0.126743593
2000001,11/30/2010,0.169838243
2000001,12/31/2010,0.081114176
2000001,1/31/2011,0.149558109
2000001,2/28/2011,0.078579011
2000001,3/31/2011,0.058300241
2000001,4/29/2011,0.015208441
2000001,5/31/2011,0.043091041
2000001,6/30/2011,0.007604194
2000001,7/29/2011,0.088718944
2000001,8/31/2011,0
2000001,9/30/2011,0.015208441
2000001,10/31/2011,0.005069455
2000001,11/30/2011,0
2000001,12/30/2011,0
2000001,1/31/2012,0.038021427
2000001,2/29/2012,0.053230564
2000001,3/30/2012,0.035486698
2000001,4/30/2012,0.076044122
2000001,5/31/2012,0.027882317
2000001,6/29/2012,0.035486698
2000001,7/31/2012,0.060834854
2000001,8/31/2012,0.078579265
2000001,9/28/2012,0.040556322
2000001,10/31/2012,0.09378906
2000001,11/30/2012,0.121672953
2000001,12/31/2012,0.025347495
2000001,1/31/2013,0.060835108
2000001,2/28/2013,0.048160834
2000001,3/28/2013,0.040556344
2000001,4/30/2013,0.015208428
2000001,5/31/2013,0.015208444
2000001,6/28/2013,0.010138937
2000001,7/31/2013,0.01013894
2000001,8/30/2013,0.010138937
2000001,9/30/2013,0.020277952
2000001,10/31/2013,0.035486715
2000001,11/29/2013,0.025347522
2000001,12/31/2013,0.015208428
2000001,1/31/2014,0.050695641
2000001,2/28/2014,0.030417098
2000001,3/31/2014,0.017743189
2000001,4/30/2014,0.01013894
2000001,5/30/2014,0.022812742
2000001,6/30/2014,0.015208432
2000001,7/31/2014,0.005069457
2000001,8/29/2014,0.005069456
2000001,9/30/2014,0.015208428
2000001,10/31/2014,0.002534725
2000001,11/28/2014,0.005069457
2000001,12/31/2014,0.01013894
